Day_of_Week,Month,Quarter,SMA_1,SMA_3,SMA_6,Lag_1,Lag_3,Lag_6,Receipt_Count
Friday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7564766
Saturday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7455524
Sunday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7095414
Monday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7666163
Tuesday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7771289
Wednesday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7473320
Thursday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7832624
Friday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7765028
Saturday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7385245
Sunday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7392087
Monday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7738899
Tuesday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7840830
Wednesday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,8122546
Thursday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7694195
Friday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7200595
Saturday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7744470
Sunday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7610648
Monday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7880913
Tuesday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7250032
Wednesday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7666397
Thursday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7742477
Friday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7807438
Saturday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7603625
Sunday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7572947
Monday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7598153
Tuesday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7194687
Wednesday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7787109
Thursday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7631075
Friday,1,1,8821934.824577114,8820512.358909093,8817053.474504504,8720834.483582089,8505037.210909091,8190745.324324325,7750536
